circuit_id,asset_id,h3_cell,state,service_class,transport_medium,status,active_customer_count,route_miles,fiber_reroute_available,reroute_asset_id,source,source_system,dataset_version,generation_seed,synthetic_data_notice
CKT-00000-01,SA-00000,8928d4b162fffff,WA,special_access,copper,active,46,5.58,true,SA-00001,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00000-02,SA-00000,8928d4b162fffff,WA,alarm_transport,copper,active,1,4.87,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00001-01,SA-00001,89262cc7477ffff,MN,alarm_transport,copper,active,49,1.73,true,SA-00002,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00002-01,SA-00002,8928f473563ffff,OR,special_access,copper,active,96,7.95,true,SA-00003,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00003-01,SA-00003,892621b5b43ffff,MN,special_access,copper,active,94,1.21,true,SA-00004,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00003-02,SA-00003,892621b5b43ffff,MN,pots,copper,active,32,6.48,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00004-01,SA-00004,8948e9766a3ffff,AZ,alarm_transport,copper,pending_disconnect,39,16.34,true,SA-00005,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00004-02,SA-00004,8948e9766a3ffff,AZ,alarm_transport,copper,pending_disconnect,73,16.99,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00005-01,SA-00005,8928f428447ffff,OR,alarm_transport,copper,active,10,0.49,true,SA-00006,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00005-02,SA-00005,8928f428447ffff,OR,pots,copper,pending_disconnect,49,13.8,true,SA-00007,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00005-03,SA-00005,8928f428447ffff,OR,alarm_transport,copper,active,10,3.45,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00006-01,SA-00006,89275266d03ffff,MN,pots,copper,pending_disconnect,65,17.62,true,SA-00007,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00007-01,SA-00007,8928f019c93ffff,OR,pots,copper,active,32,15.58,true,SA-00008,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00007-02,SA-00007,8928f019c93ffff,OR,alarm_transport,copper,pending_disconnect,12,17.53,true,SA-00009,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00008-01,SA-00008,892884aadb7ffff,ID,pots,copper,active,72,0.52,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00008-02,SA-00008,892884aadb7ffff,ID,dsl,copper,active,6,8.62,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00008-03,SA-00008,892884aadb7ffff,ID,special_access,copper,active,87,11.01,true,SA-00011,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00009-01,SA-00009,8928d42523bffff,WA,special_access,copper,active,50,13.99,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00009-02,SA-00009,8928d42523bffff,WA,pots,copper,active,62,0.92,true,SA-00011,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00010-01,SA-00010,8948eb35817ffff,AZ,dsl,copper,active,70,3.58,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00011-01,SA-00011,89288404b87ffff,ID,dsl,copper,pending_disconnect,89,11.88,true,SA-00012,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00012-01,SA-00012,8948eba3387ffff,AZ,dsl,copper,pending_disconnect,96,5.14,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00012-02,SA-00012,8948eba3387ffff,AZ,pots,copper,active,3,4.86,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00012-03,SA-00012,8948eba3387ffff,AZ,special_access,copper,active,64,1.21,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00013-01,SA-00013,8929b6c436fffff,AZ,dsl,copper,pending_disconnect,27,17.59,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00013-02,SA-00013,8929b6c436fffff,AZ,dsl,copper,active,2,17.92,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00013-03,SA-00013,8929b6c436fffff,AZ,dsl,copper,pending_disconnect,80,12.07,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00014-01,SA-00014,8928f46d18bffff,OR,dsl,copper,active,2,16.91,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
