contractor_id,contractor_name,home_state,coverage_states,coverage_h3_cells,license_status,union_affiliation,crew_capacity,safety_score,on_time_completion_pct,copper_recovery_certified,source,source_system,dataset_version,generation_seed,synthetic_data_notice
CTR-0000,Synthetic Field Partner 01,AZ,"[""AZ"",""CO""]","[""89268cc0e77ffff"",""89268cc64d7ffff"",""8929b6c436fffff"",""8948e958a77ffff"",""8948e9766a3ffff"",""8948eb35817ffff"",""8948eba3387ffff""]",active,union,14,0.945,0.764,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0001,Synthetic Field Partner 02,CO,"[""CO"",""ID""]","[""89268cc0e77ffff"",""89268cc64d7ffff"",""89288404b87ffff"",""8928846cdc7ffff"",""8928848d013ffff"",""892884aadb7ffff"",""892884b833bffff""]",provisional,open_shop,14,0.976,0.784,false,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0002,Synthetic Field Partner 03,ID,"[""ID"",""MN""]","[""892621b5b43ffff"",""89262c10213ffff"",""89262cc7477ffff"",""89275266d03ffff"",""89288404b87ffff"",""8928846cdc7ffff"",""8928848d013ffff"",""892884aadb7ffff"",""892884b833bffff""]",active,open_shop,13,0.919,0.898,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0003,Synthetic Field Partner 04,MN,"[""MN"",""OR""]","[""892621b5b43ffff"",""89262c10213ffff"",""89262cc7477ffff"",""89275266d03ffff"",""8928f019c93ffff"",""8928f428447ffff"",""8928f46d18bffff"",""8928f473563ffff"",""8928f549383ffff""]",provisional,open_shop,8,0.907,0.752,false,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0004,Synthetic Field Partner 05,OR,"[""OR"",""WA""]","[""8928d42523bffff"",""8928d4b162fffff"",""8928d548443ffff"",""8928f019c93ffff"",""8928f428447ffff"",""8928f46d18bffff"",""8928f473563ffff"",""8928f549383ffff""]",active,open_shop,12,0.948,0.894,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0005,Synthetic Field Partner 06,WA,"[""AZ"",""WA""]","[""8928d42523bffff"",""8928d4b162fffff"",""8928d548443ffff"",""8929b6c436fffff"",""8948e958a77ffff"",""8948e9766a3ffff"",""8948eb35817ffff"",""8948eba3387ffff""]",active,open_shop,4,0.932,0.944,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0006,Synthetic Field Partner 07,AZ,"[""AZ"",""CO""]","[""89268cc0e77ffff"",""89268cc64d7ffff"",""8929b6c436fffff"",""8948e958a77ffff"",""8948e9766a3ffff"",""8948eb35817ffff"",""8948eba3387ffff""]",active,mixed,4,0.859,0.897,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0007,Synthetic Field Partner 08,CO,"[""CO"",""ID""]","[""89268cc0e77ffff"",""89268cc64d7ffff"",""89288404b87ffff"",""8928846cdc7ffff"",""8928848d013ffff"",""892884aadb7ffff"",""892884b833bffff""]",active,union,8,0.812,0.883,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0008,Synthetic Field Partner 09,ID,"[""ID"",""MN""]","[""892621b5b43ffff"",""89262c10213ffff"",""89262cc7477ffff"",""89275266d03ffff"",""89288404b87ffff"",""8928846cdc7ffff"",""8928848d013ffff"",""892884aadb7ffff"",""892884b833bffff""]",provisional,mixed,13,0.87,0.875,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0009,Synthetic Field Partner 10,MN,"[""MN"",""OR""]","[""892621b5b43ffff"",""89262c10213ffff"",""89262cc7477ffff"",""89275266d03ffff"",""8928f019c93ffff"",""8928f428447ffff"",""8928f46d18bffff"",""8928f473563ffff"",""8928f549383ffff""]",active,union,12,0.923,0.867,false,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0010,Synthetic Field Partner 11,OR,"[""OR"",""WA""]","[""8928d42523bffff"",""8928d4b162fffff"",""8928d548443ffff"",""8928f019c93ffff"",""8928f428447ffff"",""8928f46d18bffff"",""8928f473563ffff"",""8928f549383ffff""]",active,open_shop,3,0.966,0.803,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CTR-0011,Synthetic Field Partner 12,WA,"[""AZ"",""WA""]","[""8928d42523bffff"",""8928d4b162fffff"",""8928d548443ffff"",""8929b6c436fffff"",""8948e958a77ffff"",""8948e9766a3ffff"",""8948eb35817ffff"",""8948eba3387ffff""]",provisional,union,2,0.784,0.825,true,synthetic,simulated_contractor_registry,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
