recovery_id,asset_id,h3_cell,state,recovery_status,estimated_recoverable_lbs,recovered_lbs,recovery_yield_pct,copper_grade,reference_price_usd_per_lb,estimated_material_value_usd,source,source_system,dataset_version,generation_seed,synthetic_data_notice
REC-00000,SA-00000,8928d4b162fffff,WA,completed,140265.0,111370.4,0.794,number_1,4.35,610152.75,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00001,SA-00001,89262cc7477ffff,MN,scheduled,145946.4,0.0,0.759,number_2,4.35,634866.84,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00002,SA-00002,8928f473563ffff,OR,completed,76025.2,49112.3,0.646,insulated_wire,4.35,330709.62,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00003,SA-00003,892621b5b43ffff,MN,estimated,168570.4,0.0,0.8,insulated_wire,4.35,733281.24,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00004,SA-00004,8948e9766a3ffff,AZ,completed,148997.8,104447.5,0.701,number_2,4.35,648140.43,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00005,SA-00005,8928f428447ffff,OR,estimated,119177.7,0.0,0.775,number_2,4.35,518422.99,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00006,SA-00006,89275266d03ffff,MN,scheduled,152392.4,0.0,0.779,number_2,4.35,662906.94,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00007,SA-00007,8928f019c93ffff,OR,estimated,166333.1,0.0,0.594,number_1,4.35,723548.98,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00008,SA-00008,892884aadb7ffff,ID,scheduled,185782.7,0.0,0.899,bare_bright,4.35,808154.74,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00009,SA-00009,8928d42523bffff,WA,estimated,11774.8,0.0,0.795,bare_bright,4.35,51220.38,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00010,SA-00010,8948eb35817ffff,AZ,completed,131796.5,113213.2,0.859,number_1,4.35,573314.77,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00011,SA-00011,89288404b87ffff,ID,completed,49961.3,35372.6,0.708,insulated_wire,4.35,217331.65,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
