asset_id,source,source_system,dataset_version,generation_seed,latitude,longitude,h3_cell,h3_resolution,state,active_copper_lines,pots_only_households,fiber_overbuild_pct,critical_service_flags,puc_docket_active,tribal_land_overlap,soil_risk_score,permitting_complexity,colocated_utilities,historical_dig_incident_rate,recoverable_copper_lbs,copper_price_usd_per_lb,synthetic_data_notice
SA-00000,synthetic,simulated_lumen_oss_gis,2026.09,42,46.911331,-121.910139,8928d4b162fffff,9,WA,2006,457,0.14,"{""alarm_system"":true,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",true,false,0.233,0.602,1,3.58,140265.0,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00001,synthetic,simulated_lumen_oss_gis,2026.09,42,44.698397,-93.292881,89262cc7477ffff,9,MN,53,48,0.806,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.097,0.847,2,4.036,145946.4,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00002,synthetic,simulated_lumen_oss_gis,2026.09,42,44.724826,-122.393246,8928f473563ffff,9,OR,645,565,0.293,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",true,false,0.773,0.985,1,4.332,76025.2,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00003,synthetic,simulated_lumen_oss_gis,2026.09,42,45.072116,-93.562201,892621b5b43ffff,9,MN,3032,1455,0.21,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",true,false,0.163,0.379,1,3.423,168570.4,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00004,synthetic,simulated_lumen_oss_gis,2026.09,42,33.106143,-112.47111,8948e9766a3ffff,9,AZ,2584,1643,0.268,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.915,0.459,2,0.698,148997.8,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00005,synthetic,simulated_lumen_oss_gis,2026.09,42,44.862742,-122.798497,8928f428447ffff,9,OR,4780,1635,0.362,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.16,0.68,0,1.924,119177.7,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00006,synthetic,simulated_lumen_oss_gis,2026.09,42,44.976203,-92.834706,89275266d03ffff,9,MN,94,87,0.721,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",true,false,0.454,0.954,2,4.859,152392.4,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00007,synthetic,simulated_lumen_oss_gis,2026.09,42,45.512628,-122.455378,8928f019c93ffff,9,OR,2444,2079,0.609,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,true,0.324,0.019,2,4.394,166333.1,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00008,synthetic,simulated_lumen_oss_gis,2026.09,42,43.315507,-116.535041,892884aadb7ffff,9,ID,4647,322,0.086,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":true}",true,false,0.55,0.265,3,4.822,185782.7,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00009,synthetic,simulated_lumen_oss_gis,2026.09,42,47.489868,-121.944461,8928d42523bffff,9,WA,3268,2751,0.65,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.23,0.22,0,3.539,11774.8,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00010,synthetic,simulated_lumen_oss_gis,2026.09,42,33.714878,-111.726328,8948eb35817ffff,9,AZ,580,526,0.238,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.785,0.807,1,0.472,131796.5,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00011,synthetic,simulated_lumen_oss_gis,2026.09,42,43.481221,-116.286273,89288404b87ffff,9,ID,443,344,0.653,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":true}",true,false,0.536,0.14,1,1.393,49961.3,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00012,synthetic,simulated_lumen_oss_gis,2026.09,42,33.298818,-111.724786,8948eba3387ffff,9,AZ,4508,401,0.051,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.486,0.214,3,4.512,32927.4,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
